Statistics Results

USA-road-d.NY.gr	264346	733846	227	43772974	65595724	56135684	66504768	69225142	75450949	82953021

USA-road-d.COL.gr	435666	1057066	138	71897250	103218350	88102700	107326975	113312571	118864055	134476813

USA-road-d.FLA.gr	1070376	2712798	57	168026817	246080875	210937815	257773664	268575917	286306652	323138578

USA-road-d.CAL.gr	1890815	4657742	32	368398693	534146518	457065109	535693553	568315590	608210621	690760975

USA-road-d.E.gr	3598623	8778114	17	911953511	1316539605	1139754311	1284193782	1345675041	1442650047	1650487329

USA-road-d.W.gr	6262104	15248146	10	1755942710	2573694280	2135410260	2420192600	2655490590	2836398360	3243565200

USA-road-d.CTR.gr	14081816	34292496	5	10914507840	14826297060	12284172700	12143506760	12603239300	13378356680	14593069020

USA-road-d.USA.gr	23947347	58333344	3	9879156733	13887132133	12274696566	12697125266	13585971100	14552861733	16468550600
